row,gene_name,Disease involvement,Ensembl,Evidence,Gene,Gene synonym,Subcellular additional location,Subcellular main location
Q8NBR0,TP53I13,None,ENSG00000167543,Evidence at protein level,TP53I13,[u'DSCP1'],None,None
Q7Z5J4,RAI1,None,ENSG00000108557,Evidence at protein level,RAI1,"[u'DKFZP434A139', u'KIAA1820', u'MGC12824', u'SMCR', u'SMS']",None,[u'Nucleoplasm']
Q8WZ64,ARAP2,None,ENSG00000047365,Evidence at protein level,ARAP2,"[u'CENTD1', u'PARX']",[u'Actin filaments'],[u'Focal adhesion sites']
Q7RTN6-6,STRADA,None,ENSG00000266173,Evidence at protein level,STRADA,"[u'LYK5', u'NY-BR-96', u'Stlk', u'STRAD']",None,"[u'Nucleoplasm', u'Cytosol']"
Q02539,HIST1H1A,None,ENSG00000124610,Evidence at protein level,H1-1,"[u'H1.1', u'H1a', u'H1F1', u'HIST1H1A']",None,[u'Nucleoplasm']
Q99808-2,SLC29A1,None,ENSG00000112759,Evidence at protein level,SLC29A1,[u'ENT1'],None,None
Q9Y4H5,G18.1a,None,ENSG00000213654,Evidence at protein level,GPSM3,"[u'AGS4', u'C6orf9', u'G18', u'G18.1a', u'G18.1b', u'G18.2', u'NG1']",None,None
Q99081,TCF12,"[u'Cancer-related genes', u'Craniosynostosis', u'Disease variant']",ENSG00000140262,Evidence at protein level,TCF12,"[u'bHLHb20', u'HEB', u'HsT17266', u'HTF4', u'p64']",None,"[u'Nucleoplasm', u'Nuclear speckles']"
Q9UFF9,CNOT8,None,ENSG00000155508,Evidence at protein level,CNOT8,"[u'CAF1', u'CALIF', u'hCAF1', u'POP2']",None,None
O95249,GOSR1,None,ENSG00000108587,Evidence at protein level,GOSR1,"[u'GOLIM2', u'GOS-28', u'GOS28', u'GS28', u'P28']",None,None
Q8IVS8-4,GLYCTK,[u'Disease variant'],ENSG00000168237,Evidence at protein level,GLYCTK,"[u'HBEBP2', u'HBEBP4']","[u'Golgi apparatus', u'Rods & Rings']",[u'Cytosol']
Q53HC0,CCDC92,None,ENSG00000119242,Evidence at protein level,CCDC92,[u'FLJ22471'],[u'Nucleoplasm'],[u'Centrosome']
Q13601,KRR1,None,ENSG00000111615,Evidence at protein level,KRR1,"[u'HRB2', u'RIP-1']","[u'Nucleoplasm', u'Mitotic chromosome']","[u'Nucleoli', u'Nucleoli rim']"
Q9H1D9,POLR3F,None,ENSG00000132664,Evidence at protein level,POLR3F,"[u'C34', u'RPC39', u'RPC6']",None,[u'Nucleoplasm']
O75368,SH3BGRL,None,ENSG00000131171,Evidence at protein level,SH3BGRL,[u'MGC117402'],None,[u'Vesicles']
Q9Y3L3,SH3BP1,None,ENSG00000100092,Evidence at protein level,SH3BP1,[u'ARHGAP43'],None,[u'Cytosol']
Q96LJ7,DHRS1,None,ENSG00000157379,Evidence at protein level,DHRS1,"[u'FLJ25430', u'MGC20204', u'SDR19C1']","[u'Centrosome', u'Cytosol']",[u'Nucleoplasm']
Q69YQ0,SPECC1L,[u'Disease variant'],ENSG00000100014,Evidence at protein level,SPECC1L,"[u'CYTSA', u'KIAA0376']",None,[u'Actin filaments']
Q8WTW3,COG1,[u'Congenital disorder of glycosylation'],ENSG00000166685,Evidence at protein level,COG1,"[u'KIAA1381', u'LDLB']",None,None
O95336,PGLS,None,ENSG00000130313,Evidence at protein level,PGLS,[u'6PGL'],[u'Cytosol'],[u'Nucleoplasm']
Q8WVB3-2,HEXDC,None,ENSG00000169660,Evidence at protein level,HEXD,"[u'FLJ23825', u'HEXDC']",None,"[u'Nucleoli fibrillar center', u'Mitochondria']"
Q9P0J7,KCMF1,None,ENSG00000176407,Evidence at protein level,KCMF1,"[u'DEBT91', u'DKFZP434L1021', u'PCMF', u'ZZZ1']",[u'Nucleoplasm'],[u'Cytosol']
Q8N183,NDUFAF2,"[u'Disease variant', u'Primary mitochondrial disease']",ENSG00000164182,Evidence at protein level,NDUFAF2,"[u'B17.2L', u'mimitin', u'MMTN', u'NDUFA12L']",None,[u'Mitochondria']
P09960,LTA4H,[u'Cancer-related genes'],ENSG00000111144,Evidence at protein level,LTA4H,[],None,"[u'Nucleoplasm', u'Cytosol']"
Q9HAP2,MLXIP,None,ENSG00000175727,Evidence at protein level,MLXIP,"[u'bHLHe36', u'KIAA0867', u'MIR', u'MONDOA']",None,None
Q9BWT1,CDCA7,[u'Disease variant'],ENSG00000144354,Evidence at protein level,CDCA7,"[u'FLJ14736', u'JPO1']",None,"[u'Nucleoplasm', u'Cytosol']"
Q92569,PIK3R3,[u'Cancer-related genes'],ENSG00000117461,Evidence at protein level,PIK3R3,[u'p55'],[u'Nucleoplasm'],[u'Vesicles']
A6NHX0,GATSL2,None,ENSG00000274070,Evidence at protein level,CASTOR2,"[u'GATSL1', u'GATSL2']",None,None
P34896,SHMT1,None,ENSG00000176974,Evidence at protein level,SHMT1,"[u'CSHMT', u'MGC15229', u'MGC24556', u'SHMT']",[u'Nucleoplasm'],[u'Cytosol']
Q15645,TRIP13,[u'Disease variant'],ENSG00000071539,Evidence at protein level,TRIP13,[u'16E1BP'],None,[u'Nucleoplasm']
Q5VU43-3,PDE4DIP,[u'Cancer-related genes'],ENSG00000178104,Evidence at protein level,PDE4DIP,"[u'CMYA2', u'KIAA0454', u'KIAA0477', u'MMGL']",None,[u'Golgi apparatus']
Q6UXB4,CLEC4G,None,ENSG00000182566,Evidence at protein level,CLEC4G,"[u'LSECtin', u'UNQ431']",None,None
O15085,ARHGEF11,None,ENSG00000132694,Evidence at protein level,ARHGEF11,"[u'GTRAP48', u'KIAA0380', u'PDZ-RHOGEF']",[u'Nucleoplasm'],[u'Plasma membrane']
Q8N3V7,SYNPO,None,ENSG00000171992,Evidence at protein level,SYNPO,[u'KIAA1029'],[u'Actin filaments'],"[u'Plasma membrane', u'Cytosol']"
Q969Z3,MARC2,None,ENSG00000117791,Evidence at protein level,MTARC2,"[u'FLJ20605', u'MARC2', u'MOSC2']",None,None
Q08999,RBL2,"[u'Cancer-related genes', u'Tumor suppressor']",ENSG00000103479,Evidence at protein level,RBL2,"[u'p130', u'Rb2']",[u'Cytosol'],"[u'Nucleoplasm', u'Nucleoli rim', u'Mitotic chromosome']"
I3L4C8,NDUFAF8,"[u'Disease variant', u'Primary mitochondrial disease']",ENSG00000224877,Evidence at protein level,NDUFAF8,[u'C17orf89'],None,[u'Mitochondria']
Q9UH36,SRRD,None,ENSG00000100104,Evidence at protein level,SRRD,"[u'HC/HCC', u'SRR1L']",None,[u'Cytosol']
Q8TF20,ZNF721,None,ENSG00000182903,Evidence at protein level,ZNF721,[u'KIAA1982'],[u'Centriolar satellite'],[u'Cytosol']
P52788,SMS,[u'Mental retardation'],ENSG00000102172,Evidence at protein level,SMS,"[u'MRSR', u'SPMSY', u'SpS', u'SRS']",[u'Cytosol'],[u'Nuclear bodies']
Q969K4,ABTB1,None,ENSG00000114626,Evidence at protein level,ABTB1,"[u'BPOZ', u'Btb3', u'BTBD21', u'EF1ABP']",[u'Nucleoli'],[u'Cytosol']
Q86U42,PABPN1,[u'Disease variant'],ENSG00000100836,Evidence at protein level,PABPN1,"[u'OPMD', u'PAB2', u'PABP2']",[u'Nuclear speckles'],[u'Nucleoplasm']
Q06945,SOX4,"[u'Disease variant', u'Mental retardation']",ENSG00000124766,Evidence at protein level,SOX4,[],[u'Mitochondria'],[u'Nucleoplasm']
O95644,NFATC1,None,ENSG00000131196,Evidence at protein level,NFATC1,"[u'NF-ATC', u'NFAT2', u'NFATc']",[u'Nucleoplasm'],[u'Nuclear bodies']
Q9Y2E8,SLC9A8,None,ENSG00000197818,Evidence at protein level,SLC9A8,"[u'KIAA0939', u'NHE8']",None,None
Q5XUX1,FBXW9,None,ENSG00000132004,Evidence at protein level,FBXW9,"[u'Fbw9', u'MEC-15', u'MGC10870']",None,[u'Cytosol']
P13760,HLA-DRB1,None,ENSG00000196126,Evidence at protein level,HLA-DRB1,[u'HLA-DR1B'],None,None
P40937,RFC5,None,ENSG00000111445,Evidence at protein level,RFC5,[u'RFC36'],None,[u'Nucleoplasm']
Q5W0V3,FAM160B1,None,ENSG00000151553,Evidence at protein level,FAM160B1,"[u'bA106M7.3', u'KIAA1600']",[u'Cytosol'],[u'Nuclear speckles']
P41220,RGS2,None,ENSG00000116741,Evidence at protein level,RGS2,[u'G0S8'],None,[u'Cytosol']
Q4AC94,C2CD3,"[u'Ciliopathy', u'Disease variant', u'Mental retardation']",ENSG00000168014,Evidence at protein level,C2CD3,[u'DKFZP586P0123'],None,"[u'Nucleoplasm', u'Centrosome']"
Q99592,ZBTB18,[u'Mental retardation'],ENSG00000179456,Evidence at protein level,ZBTB18,"[u'C2H2-171', u'RP58', u'TAZ-1', u'ZNF238']",None,"[u'Nucleoplasm', u'Nuclear speckles']"
P29375,KDM5A,[u'Cancer-related genes'],ENSG00000073614,Evidence at protein level,KDM5A,"[u'JARID1A', u'RBBP2']",[u'Cytosol'],[u'Nuclear bodies']
Q9H9D4,ZNF408,"[u'Disease variant', u'Retinitis pigmentosa']",ENSG00000175213,Evidence at protein level,ZNF408,[u'FLJ12827'],None,"[u'Centriolar satellite', u'Cytosol']"
Q9BSF4,TIMM29,None,ENSG00000142444,Evidence at protein level,TIMM29,"[u'C19orf52', u'TIM29']",[u'Nucleoplasm'],[u'Mitochondria']
Q86WH2,RASSF3,None,ENSG00000153179,Evidence at protein level,RASSF3,[],None,"[u'Plasma membrane', u'Cytosol']"
O15056,SYNJ2,None,ENSG00000078269,Evidence at protein level,SYNJ2,[u'INPP5H'],[u'Cytosol'],[u'Microtubules']
Q8N4H5,TOMM5,None,ENSG00000175768,Evidence at protein level,TOMM5,"[u'bA613M10.3', u'C9orf105', u'Tom5']",None,[u'Mitochondria']
D6RD47,RPS23,"[u'Deafness', u'Disease variant', u'Dwarfism']",ENSG00000186468,Evidence at protein level,RPS23,"[u'S23', u'uS12']",None,"[u'Endoplasmic reticulum', u'Cytosol']"
O75791,GRAP2,None,ENSG00000100351,Evidence at protein level,GRAP2,"[u'GADS', u'GRBLG', u'GrbX', u'Grf40', u'Mona']",[u'Plasma membrane'],"[u'Nucleoplasm', u'Cytosol']"
Q9UJA3,MCM8,"[u'Disease variant', u'Premature ovarian failure']",ENSG00000125885,Evidence at protein level,MCM8,"[u'C20orf154', u'dJ967N21.5', u'MGC119522', u'MGC119523', u'MGC12866', u'MGC4816', u'REC']",[u'Cytosol'],[u'Nucleoplasm']
Q9H0P0,NT5C3A,[u'Disease variant'],ENSG00000122643,Evidence at protein level,NT5C3A,"[u'cN-III', u'hUMP1', u'NT5C3', u'p36', u""P5'N-1"", u'PN-I', u'POMP', u'PSN1', u'UMPH', u'UMPH1']","[u'Nucleoplasm', u'Nuclear bodies']","[u'Endoplasmic reticulum', u'Cytosol']"
B1AK63,MEAF6,None,ENSG00000163875,Evidence at protein level,MEAF6,"[u'C1orf149', u'CENP-28', u'Eaf6', u'FLJ11730', u'NY-SAR-91']",[u'Nucleoplasm'],[u'Nuclear bodies']
Q9H5V9,CXorf56,[u'Mental retardation'],ENSG00000018610,Evidence at protein level,CXorf56,[u'FLJ22965'],[u'Centrosome'],[u'Nucleoplasm']
O43482,OIP5,None,ENSG00000104147,Evidence at protein level,OIP5,"[u'CT86', u'hMIS18beta', u'MIS18B']",[u'Vesicles'],[u'Nuclear speckles']
A0A0D9SEJ8,ZNF280B,None,ENSG00000275004,Evidence at protein level,ZNF280B,"[u""5'OY11.1"", u'SUHW2', u'ZNF279', u'ZNF632']",None,[u'Nucleoplasm']
Q9HCL2,GPAM,None,ENSG00000119927,Evidence at protein level,GPAM,"[u'GPAT1', u'KIAA1560', u'MGC26846']",None,[u'Mitochondria']
P46783,RPS10,[u'Diamond-Blackfan anemia'],ENSG00000124614,Evidence at protein level,RPS10,"[u'MGC88819', u'S10']",None,[u'Cytosol']
Q7Z3E5,ARMC9,"[u'Ciliopathy', u'Joubert syndrome']",ENSG00000135931,Evidence at protein level,ARMC9,"[u'ARM', u'FLJ12584', u'KIAA1868', u'KU-MEL-1']",None,None
P61086,UBE2K,None,ENSG00000078140,Evidence at protein level,UBE2K,"[u'HIP2', u'HYPG', u'UBC1']",[u'Plasma membrane'],[u'Cytosol']
A0A0A0MP75,ZNF180,[u'Cancer-related genes'],ENSG00000167384,Evidence at protein level,ZNF180,[u'HHZ168'],None,[u'Nucleoplasm']
Q4G0N4,NADK2,None,ENSG00000152620,Evidence at protein level,NADK2,"[u'C5orf33', u'FLJ30596', u'MNADK', u'NADKD1']",None,[u'Mitochondria']
Q63HK3,ZKSCAN2,None,ENSG00000155592,Evidence at protein level,ZKSCAN2,"[u'FLJ23199', u'ZNF694', u'ZSCAN34']","[u'Nucleoli fibrillar center', u'Golgi apparatus']",[u'Nucleoplasm']
Q5VTL8,PRPF38B,None,ENSG00000134186,Evidence at protein level,PRPF38B,"[u'FLJ10330', u'NET1']",None,None
Q9UJU6,DBNL,None,ENSG00000136279,Evidence at protein level,DBNL,"[u'ABP1', u'HIP-55', u'SH3P7']",None,"[u'Vesicles', u'Plasma membrane']"
Q96MT1,RNF145,None,ENSG00000145860,Evidence at protein level,RNF145,[u'FLJ31951'],None,"[u'Nucleoplasm', u'Plasma membrane', u'Cytosol']"
Q8NDD1,C1orf131,None,ENSG00000143633,Evidence at protein level,C1orf131,[u'DKFZp547B1713'],None,None
X6RLR1,DCTN3,None,ENSG00000137100,Evidence at protein level,DCTN3,[u'DCTN-22'],[u'Nucleoli'],[u'Cytosol']
Q9BZD2,SLC29A3,[u'Disease variant'],ENSG00000198246,Evidence at protein level,SLC29A3,"[u'ENT3', u'FLJ11160']",None,"[u'Golgi apparatus', u'Vesicles']"
C9JSE3,FANCG,"[u'Cancer-related genes', u'Disease variant', u'Fanconi anemia']",ENSG00000221829,Evidence at protein level,FANCG,"[u'FAG', u'XRCC9']",[u'Nucleoli'],"[u'Plasma membrane', u'Cytosol']"
F8VUC8,OAS1,None,ENSG00000089127,Evidence at protein level,OAS1,"[u'IFI-4', u'OIAS', u'OIASI']",None,"[u'Nucleoplasm', u'Cytosol']"
O95551,TDP2,"[u'Mental retardation', u'Neurodegeneration', u'Spinocerebellar ataxia']",ENSG00000111802,Evidence at protein level,TDP2,[u'TTRAP'],None,"[u'Nucleoplasm', u'Nuclear bodies']"
Q9BRJ9,MESP1,None,ENSG00000166823,Evidence at protein level,MESP1,"[u'bHLHc5', u'MGC10676']",[u'Nucleoli'],[u'Nucleoplasm']
A0A0C4DGT8,RSBN1,None,ENSG00000081019,Evidence at protein level,RSBN1,"[u'FLJ11220', u'ROSBIN']","[u'Nuclear bodies', u'Vesicles']",[u'Nucleoplasm']
A0A0C4DG33,PEX1,"[u'Amelogenesis imperfecta', u'Deafness', u'Disease variant', u'Peroxisome biogenesis disorder', u'Zellweger syndrome']",ENSG00000127980,Evidence at protein level,PEX1,"[u'ZWS', u'ZWS1']",None,[u'Peroxisomes']
Q05397,PTK2,[u'Cancer-related genes'],ENSG00000169398,Evidence at protein level,PTK2,"[u'FADK', u'FAK', u'FAK1', u'PPP1R71']","[u'Vesicles', u'Cytosol']",[u'Focal adhesion sites']
O95757,HSPA4L,None,ENSG00000164070,Evidence at protein level,HSPA4L,"[u'APG-1', u'HSPH3', u'Osp94']",None,"[u'Centrosome', u'Cytosol']"
Q8TF72,SHROOM3,None,ENSG00000138771,Evidence at protein level,SHROOM3,"[u'APXL3', u'KIAA1481', u'SHRM', u'ShrmL']",None,None
O75937,DNAJC8,None,ENSG00000126698,Evidence at protein level,DNAJC8,[u'SPF31'],None,[u'Nucleoplasm']
Q8N531,FBXL6,None,ENSG00000182325,Evidence at protein level,FBXL6,[u'FBL6'],[u'Vesicles'],[u'Nucleoplasm']
P35580,MYH10,[u'Disease variant'],ENSG00000133026,Evidence at protein level,MYH10,[u'NMMHCB'],"[u'Mitochondria', u'Cytosol']",[u'Actin filaments']
B5MDF5,RAN,None,ENSG00000132341,Evidence at protein level,RAN,"[u'ARA24', u'Gsp1', u'TC4']",None,[u'Nucleoplasm']
O75204,TMEM127,"[u'Cancer-related genes', u'Tumor suppressor']",ENSG00000135956,Evidence at protein level,TMEM127,"[u'FLJ20507', u'FLJ22257']",None,None
Q9BVI4,NOC4L,None,ENSG00000184967,Evidence at protein level,NOC4L,"[u'MGC3162', u'NET49', u'Noc4', u'UTP19']",[u'Nucleoplasm'],[u'Nucleoli']
P25942,CD40,"[u'Cancer-related genes', u'Disease variant']",ENSG00000101017,Evidence at protein level,CD40,"[u'Bp50', u'p50', u'TNFRSF5']",None,None
P30154-2,PPP2R1B,None,ENSG00000137713,Evidence at protein level,PPP2R1B,"[u'PP2A-Abeta', u'PR65B']",None,"[u'Plasma membrane', u'Cytosol']"
Q6NUQ1,RINT1,[u'Disease variant'],ENSG00000135249,Evidence at protein level,RINT1,"[u'FLJ11785', u'RINT-1']",None,[u'Golgi apparatus']
Q99538,LGMN,[u'Cancer-related genes'],ENSG00000100600,Evidence at protein level,LGMN,"[u'LGMN1', u'PRSC1']",[u'Nucleoplasm'],[u'Vesicles']
Q9BVK8,TMEM147,None,ENSG00000105677,Evidence at protein level,TMEM147,"[u'MGC1936', u'NIFIE14']",None,None
Q9ULT0-4,TTC7A,[u'Disease variant'],ENSG00000068724,Evidence at protein level,TTC7A,"[u'KIAA1140', u'TTC7']",None,None
Q7Z7A1,CNTRL,[u'Cancer-related genes'],ENSG00000119397,Evidence at protein level,CNTRL,"[u'CEP1', u'CEP110']",[u'Centriolar satellite'],"[u'Centrosome', u'Cytosol']"
Q6NS38,ALKBH2,None,ENSG00000189046,Evidence at protein level,ALKBH2,"[u'ABH2', u'MGC90512']",None,[u'Nucleoplasm']
O95394,PGM3,[u'Disease variant'],ENSG00000013375,Evidence at protein level,PGM3,"[u'AGM1', u'DKFZP434B187', u'PAGM']",None,"[u'Nucleoplasm', u'Cytosol']"
Q53R41,FASTKD1,None,ENSG00000138399,Evidence at protein level,FASTKD1,[u'FLJ21901'],None,None
Q06330,RBPJ,[u'Disease variant'],ENSG00000168214,Evidence at protein level,RBPJ,"[u'CBF1', u'IGKJRB', u'IGKJRB1', u'KBF2', u'RBP-J', u'RBPJK', u'RBPSUH', u'SUH']",None,[u'Nucleoplasm']
P35790,CHKA,None,ENSG00000110721,Evidence at protein level,CHKA,"[u'CHK', u'CKI']",None,[u'Endoplasmic reticulum']
Q5TA45,CPSF3L,None,ENSG00000127054,Evidence at protein level,INTS11,"[u'CPSF3L', u'CPSF73L', u'FLJ20542', u'INT11', u'RC-68']",[u'Nucleoplasm'],[u'Cytosol']
A0A087WSX8,LILRB1,None,ENSG00000104972,Evidence at transcript level,LILRB1,"[u'CD85', u'CD85j', u'ILT2', u'LIR-1', u'LIR1', u'MIR-7', u'PIR-B', u'PIRB']",None,None
P26022,PTX3,None,ENSG00000163661,Evidence at protein level,PTX3,"[u'TNFAIP5', u'TSG-14']",None,[u'Plasma membrane']
P54277,PMS1,"[u'Hereditary nonpolyposis colorectal cancer', u'Tumor suppressor']",ENSG00000064933,Evidence at protein level,PMS1,"[u'MLH2', u'PMSL1']",None,"[u'Nucleoplasm', u'Nuclear bodies']"
Q8IYA6,CKAP2L,[u'Mental retardation'],ENSG00000169607,Evidence at protein level,CKAP2L,"[u'FLJ40629', u'radmis']",[u'Cytosol'],"[u'Microtubules', u'Mitotic spindle']"
D6RJ90,COMMD10,None,ENSG00000145781,Evidence at protein level,COMMD10,[u'PTD002'],None,[u'Nucleoplasm']
Q9NPD3,EXOSC4,None,ENSG00000178896,Evidence at protein level,EXOSC4,"[u'FLJ20591', u'hRrp41p', u'p12A', u'RRP41', u'RRP41A', u'Rrp41p', u'SKI6', u'Ski6p']",[u'Vesicles'],"[u'Nucleoplasm', u'Cytosol']"
A0A075B6H6,IGKC,None,ENSG00000211592,Evidence at transcript level,IGKC,[u'HCAK1'],None,None
F5H5B9,STAMBP,[u'Disease variant'],ENSG00000124356,Evidence at protein level,STAMBP,[u'AMSH'],"[u'Plasma membrane', u'Cytosol']",[u'Nucleoplasm']
O00483,NDUFA4,"[u'Leigh syndrome', u'Primary mitochondrial disease']",ENSG00000189043,Evidence at protein level,NDUFA4,"[u'CI-9k', u'COXFA4', u'MLRQ']",None,[u'Mitochondria']
E9PRZ1,SAAL1,None,ENSG00000166788,Evidence at protein level,SAAL1,[u'FLJ41463'],None,[u'Nucleoplasm']
P08621,SNRNP70,None,ENSG00000104852,Evidence at protein level,SNRNP70,"[u'RNPU1Z', u'RPU1', u'Snp1', u'SNRP70', u'U1-70K']",None,[u'Nucleoplasm']
Q86UX7,FERMT3,[u'Disease variant'],ENSG00000149781,Evidence at protein level,FERMT3,"[u'KIND3', u'MGC10966', u'MIG-2', u'MIG2B', u'UNC112C', u'URP2']",None,[u'Vesicles']
Q92890-1,UFD1L,None,ENSG00000070010,Evidence at protein level,UFD1,[u'UFD1L'],[u'Nucleoli'],"[u'Nucleoplasm', u'Cytosol']"
Q14832,GRM3,None,ENSG00000198822,Evidence at protein level,GRM3,"[u'GPRC1C', u'mGlu3', u'MGLUR3']",None,None
H0YMB0,IRF9,None,ENSG00000213928,Evidence at protein level,IRF9,[u'ISGF3G'],None,[u'Cytosol']
Q01432,AMPD3,[u'Disease variant'],ENSG00000133805,Evidence at protein level,AMPD3,[],None,[u'Nuclear membrane']
O94868,FCHSD2,None,ENSG00000137478,Evidence at protein level,FCHSD2,"[u'KIAA0769', u'SH3MD3']","[u'Nuclear speckles', u'Focal adhesion sites']","[u'Plasma membrane', u'Actin filaments']"
Q96T76,MMS19,None,ENSG00000155229,Evidence at protein level,MMS19,"[u'CIAO4', u'hMMS19', u'MET18', u'MMS19L']",None,[u'Nucleoplasm']
A0A0A0MR51,FADS1,[u'FDA approved drug targets'],ENSG00000149485,Evidence at protein level,FADS1,"[u'D5D', u'FADS6', u'FADSD5', u'LLCDL1', u'TU12']",None,None
Q96G74-3,OTUD5,None,ENSG00000068308,Evidence at protein level,OTUD5,"[u'DKFZp761A052', u'DUBA']","[u'Nucleoplasm', u'Nucleoli fibrillar center']",[u'Cytosol']
D6RDH9,SNX14,"[u'Disease variant', u'Mental retardation', u'Neurodegeneration', u'Spinocerebellar ataxia']",ENSG00000135317,Evidence at protein level,SNX14,[u'RGS-PX2'],None,"[u'Vesicles', u'Cytosol']"
Q9BXJ9,NAA15,"[u'Disease variant', u'Mental retardation']",ENSG00000164134,Evidence at protein level,NAA15,"[u'FLJ13340', u'NARG1', u'NATH', u'TBDN100']",[u'Nuclear bodies'],[u'Cytosol']
Q15048,LRRC14,None,ENSG00000160959,Evidence at protein level,LRRC14,"[u'KIAA0014', u'LRRC14A']",None,"[u'Nucleoplasm', u'Cytosol']"
Q99437,ATP6V0B,None,ENSG00000117410,Evidence at protein level,ATP6V0B,"[u'ATP6F', u'HATPL', u'VMA16']",None,[u'Cytosol']
M0R2M1,NAPA,None,ENSG00000105402,Evidence at protein level,NAPA,[],None,[u'Cytosol']
Q12906,ILF3,[u'Cancer-related genes'],ENSG00000129351,Evidence at protein level,ILF3,"[u'DRBP76', u'MPHOSPH4', u'MPP4', u'MPP4110', u'NF110', u'NF110b', u'NF90', u'NF90a', u'NF90c', u'NF90ctv', u'NFAR-1', u'NFAR-2', u'NFAR110', u'NFAR90', u'TCP110']",None,"[u'Nucleoplasm', u'Nucleoli', u'Mitochondria']"
P51805,PLXNA3,None,ENSG00000130827,Evidence at protein level,PLXNA3,"[u'6.3', u'Plxn3', u'PLXN4', u'SEX', u'XAP-6']",[u'Nucleoplasm'],"[u'Vesicles', u'Plasma membrane']"
F8W8S8,MTMR1,None,ENSG00000063601,Evidence at protein level,MTMR1,[],None,[u'Vesicles']
Q5T280,C9orf114,None,ENSG00000198917,Evidence at protein level,SPOUT1,"[u'C9orf114', u'CENP-32', u'HSPC109']",None,None
A0A1B0GWA0,ZNF654,None,ENSG00000175105,Evidence at transcript level,ZNF654,"[u'FLJ10997', u'FLJ21142']","[u'Nucleoplasm', u'Cytokinetic bridge', u'Mitotic spindle']",[u'Microtubules']
K7ELW0,PARK7,"[u'Disease variant', u'Neurodegeneration', u'Parkinson disease', u'Parkinsonism', u'Tumor suppressor']",ENSG00000116288,Evidence at protein level,PARK7,"[u'DJ-1', u'DJ1', u'GATD2']",None,"[u'Nucleoplasm', u'Cytosol']"
E7ETZ8,MAP9,None,ENSG00000164114,Evidence at protein level,MAP9,"[u'ASAP', u'FLJ21159']",None,None
Q8WZ19,KCTD13,"[u'Autism', u'Autism spectrum disorder', u'Disease variant', u'Schizophrenia']",ENSG00000174943,Evidence at protein level,KCTD13,"[u'FKSG86', u'PDIP1', u'POLDIP1']",None,"[u'Nucleoplasm', u'Nuclear bodies']"
C9JVA8,SERPINB8,None,ENSG00000166401,Evidence at protein level,SERPINB8,"[u'CAP2', u'PI8']",[u'Cytosol'],[u'Nucleoplasm']
Q8TED0,UTP15,None,ENSG00000164338,Evidence at protein level,UTP15,"[u'FLJ12787', u'FLJ23637', u'NET21']",None,"[u'Nucleoli', u'Endoplasmic reticulum']"
Q12929,EPS8,"[u'Deafness', u'Non-syndromic deafness']",ENSG00000151491,Evidence at protein level,EPS8,[],None,[u'Golgi apparatus']
Q92733,PRCC,"[u'Cancer-related genes', u'Proto-oncogene']",ENSG00000143294,Evidence at protein level,PRCC,[u'RCCP1'],None,[u'Nuclear speckles']
O15530,PDPK1,None,ENSG00000140992,Evidence at protein level,PDPK1,[u'PDK1'],None,[u'Cytosol']
P53365,ARFIP2,None,ENSG00000132254,Evidence at protein level,ARFIP2,[u'POR1'],None,"[u'Nucleoplasm', u'Nucleoli fibrillar center', u'Golgi apparatus']"
Q6UW02,CYP20A1,None,ENSG00000119004,Evidence at protein level,CYP20A1,[u'CYP-M'],[u'Nucleoplasm'],"[u'Plasma membrane', u'Cell Junctions', u'Actin filaments']"
D6RC73,CCL28,None,ENSG00000151882,Evidence at protein level,CCL28,"[u'CCK1', u'MEC', u'SCYA28']",None,None
Q8IXM6,NRM,None,ENSG00000137404,Evidence at protein level,NRM,[u'NRM29'],None,[u'Nuclear membrane']
Q5T4F4,ZFYVE27,"[u'Disease variant', u'Hereditary spastic paraplegia', u'Neurodegeneration']",ENSG00000155256,Evidence at protein level,ZFYVE27,"[u'FLJ32919', u'SPG33']",[u'Cytosol'],"[u'Nucleoplasm', u'Vesicles']"
O14682,ENC1,[u'Cancer-related genes'],ENSG00000171617,Evidence at protein level,ENC1,"[u'ENC-1', u'KLHL37', u'NRPB', u'PIG10', u'TP53I10']",None,[u'Plasma membrane']
Q9H1M0,NUP62CL,None,ENSG00000198088,Evidence at protein level,NUP62CL,[u'FLJ20130'],None,None
Q9UK33,ZNF580,None,ENSG00000213015,Evidence at protein level,ZNF580,[],None,[u'Nucleoplasm']
H0Y9B7,LEMD2,"[u'Cataract', u'Disease variant']",ENSG00000161904,Evidence at protein level,LEMD2,"[u'dJ482C21.1', u'LEM2', u'NET25']",None,[u'Nuclear membrane']
Q9HC44,GPBP1L1,None,ENSG00000159592,Evidence at protein level,GPBP1L1,[u'SP192'],"[u'Plasma membrane', u'Focal adhesion sites', u'Cytosol']",[u'Nucleoplasm']
A0A0A0MR02,VDAC2,None,ENSG00000165637,Evidence at protein level,VDAC2,[],None,[u'Mitochondria']
Q13885,TUBB2A,[u'Disease variant'],ENSG00000137267,Evidence at protein level,TUBB2A,"[u'dJ40E16.7', u'TUBB', u'TUBB2']","[u'Cytokinetic bridge', u'Mitotic spindle']",[u'Microtubules']
Q9NYY8,FASTKD2,"[u'Disease variant', u'Primary mitochondrial disease']",ENSG00000118246,Evidence at protein level,FASTKD2,[u'KIAA0971'],None,[u'Mitochondria']
